indicator_code,current_name,name_as_in_source,definitive_name,frequency,unit_as_in_source,indicator_source_name,region_name,indicator_type,functionality,,
IR01M003 Index,AR 65% Fe,,Iron ore fines 65% Fe cfr Qingdao,daily,USD/DMT,Argus,China,Iron Ore;Sinter Fines,Prices;Seaborne,,
ME02M003 Index,AR Ferrous scrap A3 fob Russia/Ukraine Black Sea - London close,,Ferrous scrap A3 fob Russia/Ukraine Black Sea - London close,daily,USD/T,Argus,CIS,Metallics;Scrap,Prices,,
FE02I096 Index,AR Steel HRC Asia-Pacific import-export index (Impex),,HRC Asia-Pacific import-export index (Impex),daily,USD/T,Argus,Southeast Asia,Steel;HRC,Prices,,
FE02I084 Index,AR Steel rebar ex-works UAE,,Rebar ex-works UAE,monthly,AED,Argus,MENA,Steel;Rebar,Prices,,
FE02I085 Index,AR Steel rebar ex-works UAE USD/t,,Rebar ex-works UAE USD/t,monthly,USD/T,Argus,MENA,Steel;Rebar,Prices,,
FE02I095 Index,AR Steel rebar Taiwan domestic price Feng Hsin Steel Ex-works no VAT USD/t,,Rebar Taiwan domestic price Feng Hsin Steel Ex-works no VAT USD/t,daily,USD/T,Argus,JKT,Steel;Rebar,Prices,,
,ASEAN HRC - ASEAN Rebar,,Price spread ASEAN HRC - ASEAN Rebar,daily,USD/T,Platts,Southeast Asia,Steel;Rebar;HRC,Spreads,,
,ASEAN Rebar - Billet,,Price spread ASEAN Rebar - ASEAN Billet,daily,USD/T,Platts,Southeast Asia,Steel;Rebar;Billet,Spreads,,
,ASEAN scrap - JKT scrap,,Price spread ASEAN scrap - JKT scrap,daily,USD/T,Platts,Global,Metallics;Scrap,Spreads,,
,Aus - BR shipments,,Iron Ore: Volumes Spread of Shipments to China (Aus - BR),weekly,MT,Mysteel,Global,Iron Ore,Spreads;Shipments;Ports,,
,Aus - BR Stocks,,Iron Ore: Inventories at China ports spread Aus - BR,weekly,MT,Mysteel,Global,Iron Ore,Spreads;Stocks;Ports,,
ID00409037,Australian & Brazilian iron ore:Shipments:19 ports(Weekly),Australian & Brazilian iron ore:Shipments:19 ports(Weekly),Iron Ore: Shipments from Australia & Brazil: 19 ports,weekly,10KT,Mysteel,Global,Iron Ore,Shipments;Ports,,
CVIAINV Index,automobile:Vehicle Inventory Alert Index:China(Monthly),China Vehicle Inventory Alert Index - Inventory,China Vehicle Inventory Alert Index - Inventory,monthly,,Bloomberg,China,Macroeconomic,Industrial,,
BCI14TC Index,BCI Cape Spot 5TC,,BCI Cape Spot 5TC,daily,USD/T,Bloomberg,Global,Freight,Prices;Costs,,
BCRCEY Index,BCI Freight AUS-CHI,,BCI Freight AUS-CHI,daily,USD/T,Bloomberg,Australia,Freight,Prices;Costs,,
BCRCCY Index,BCI Freight BRA-CHI,,BCI Freight BRA-CHI,daily,USD/T,Bloomberg,South America,Freight,Prices;Costs,,
BGHARV Index,BCI Freight C8_14,,BCI Freight C8_14,daily,USD/T,Bloomberg,Europe,Freight,Prices;Costs,,
BPRUSSK Index,BCI Freight P1 Panamax,,BCI Freight P1 Panamax,daily,USD/T,Bloomberg,Europe,Freight,Prices;Costs,,
,BFP 64% Premium / IODEX,,Price ratio BFP 64% Premium / IODEX,daily,%,Platts,China,Iron Ore; Pellets; Sinter Fines,Ratios;Premium;Seaborne,,
,BFP 64% premium / Lump premium,,Price ratio BFP 64% premium / Lump premium,daily,%,Platts,China,Iron Ore; Lumps; Pellets,Ratios;Premium;Seaborne,,
,BFP 64% Premium / MB65%,,Price ratio BFP 64% Premium / MB65%,daily,%,MultiSource,China,Iron Ore; Pellets; Sinter Fines,Ratios;Premium;Seaborne,,
,BFP 65% Premium / IODEX,,Price ratio BFP 65% Premium / IODEX,daily,%,Platts,China,Iron Ore; Pellets; Sinter Fines,Ratios;Premium;Seaborne,,
,BFP 65% premium / Lump premium,,Price ratio BFP 65% premium / Lump premium,daily,%,Platts,China,Iron Ore; Lumps; Pellets,Ratios;Premium;Seaborne,,
,BFP 65% Premium / MB65%,,Price ratio BFP 65% Premium / MB65%,daily,%,MultiSource,China,Iron Ore; Pellets; Sinter Fines,Ratios;Premium;Seaborne,,
,BOF Raw Material's cost,,BOF Raw Material's cost (IO + Coal consumption cost): China,daily,RMB/T,Mysteel,China,Steel;BOF,Costs;Consumption,,
