indicator_name,indicator_feature_combined
France Industrial Production Construction Sub Item SA,France Industrial Production Construction Sub Item SA_monthly_monthly_Europe_Bloomberg_Macroeconomic
France Industrial Production Durable Consumer Goods SA,France Industrial Production Durable Consumer Goods SA_monthly_monthly_Europe_Bloomberg_Macroeconomic
France Industrial Production Energy SA,France Industrial Production Energy SA_monthly_monthly_Europe_Bloomberg_Macroeconomic
France Industrial Production SA,France Industrial Production SA_monthly_monthly_Europe_Bloomberg_Macroeconomic
France Jobseekers Total SA,France Jobseekers Total SA_monthly_monthly_Europe_Bloomberg_Macroeconomic
France Manufacturing PMI SA,France Manufacturing PMI SA_monthly_monthly_Europe_Bloomberg_Macroeconomic
France New Car Registrations Car & Light Truck Registrations,France New Car Registrations Car & Light Truck Registrations_monthly_monthly_Europe_Bloomberg_Macroeconomic
France New Car Registrations Car & Light Truck Registrations YoY,France New Car Registrations Car & Light Truck Registrations YoY_monthly_monthly_Europe_Bloomberg_Macroeconomic
France Retailers Confidence Overall,France Retailers Confidence Overall_monthly_monthly_Europe_Bloomberg_Macroeconomic
France Services Industry Sentiment Indicator,France Services Industry Sentiment Indicator_monthly_monthly_Europe_Bloomberg_Macroeconomic
France Services PMI SA,France Services PMI SA_monthly_monthly_Europe_Bloomberg_Macroeconomic
France Trade Balance - Imports in millions of euros,France Trade Balance - Imports in millions of euros_monthly_monthly_Europe_Bloomberg_Macroeconomic
France Trade Balance Exports in millions of euros,France Trade Balance Exports in millions of euros_monthly_monthly_Europe_Bloomberg_Macroeconomic
"GDP at current prices (quarterly), 100Million","GDP at current prices (quarterly), 100Million_quarterly_quarterly_China_Mysteel_Macroeconomic"
"GDP deflator, China","GDP deflator, China_quarterly_quarterly_China_Oxford_Macroeconomic"
"GDP deflator, World","GDP deflator, World_quarterly_quarterly_Global_Oxford_Macroeconomic"
"GDP per capita, nominal, US$, Argentina","GDP per capita, nominal, US$, Argentina_quarterly_quarterly_South America_Oxford_Macroeconomic"
"GDP per capita, nominal, US$, Brazil","GDP per capita, nominal, US$, Brazil_quarterly_quarterly_South America_Oxford_Macroeconomic"
"GDP per capita, nominal, US$, Chile","GDP per capita, nominal, US$, Chile_quarterly_quarterly_South America_Oxford_Macroeconomic"
"GDP per capita, nominal, US$, China","GDP per capita, nominal, US$, China_quarterly_quarterly_China_Oxford_Macroeconomic"
"GDP per capita, nominal, US$, Commodity Prices","GDP per capita, nominal, US$, Commodity Prices_quarterly_quarterly_Global_Oxford_Macroeconomic"
"GDP per capita, nominal, US$, European Union","GDP per capita, nominal, US$, European Union_quarterly_quarterly_Europe_Oxford_Macroeconomic"
"GDP per capita, nominal, US$, Eurozone","GDP per capita, nominal, US$, Eurozone_quarterly_quarterly_Europe_Oxford_Macroeconomic"
"GDP per capita, nominal, US$, France","GDP per capita, nominal, US$, France_quarterly_quarterly_Europe_Oxford_Macroeconomic"
"GDP per capita, nominal, US$, Germany","GDP per capita, nominal, US$, Germany_quarterly_quarterly_Europe_Oxford_Macroeconomic"
"GDP per capita, nominal, US$, India","GDP per capita, nominal, US$, India_quarterly_quarterly_India_Oxford_Macroeconomic"
"GDP per capita, nominal, US$, Indonesia","GDP per capita, nominal, US$, Indonesia_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"GDP per capita, nominal, US$, Japan","GDP per capita, nominal, US$, Japan_quarterly_quarterly_JKT_Oxford_Macroeconomic"
"GDP per capita, nominal, US$, Malaysia","GDP per capita, nominal, US$, Malaysia_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"GDP per capita, nominal, US$, Mexico","GDP per capita, nominal, US$, Mexico_quarterly_quarterly_North America_Oxford_Macroeconomic"
"GDP per capita, nominal, US$, Philippines","GDP per capita, nominal, US$, Philippines_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"GDP per capita, nominal, US$, Singapore","GDP per capita, nominal, US$, Singapore_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"GDP per capita, nominal, US$, South Korea","GDP per capita, nominal, US$, South Korea_quarterly_quarterly_JKT_Oxford_Macroeconomic"
"GDP per capita, nominal, US$, Taiwan","GDP per capita, nominal, US$, Taiwan_quarterly_quarterly_JKT_Oxford_Macroeconomic"
"GDP per capita, nominal, US$, Thailand","GDP per capita, nominal, US$, Thailand_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"GDP per capita, nominal, US$, United Kingdom","GDP per capita, nominal, US$, United Kingdom_quarterly_quarterly_Europe_Oxford_Macroeconomic"
"GDP per capita, nominal, US$, United States","GDP per capita, nominal, US$, United States_quarterly_quarterly_North America_Oxford_Macroeconomic"
"GDP, manufacturing, real, LCU, Argentina","GDP, manufacturing, real, LCU, Argentina_quarterly_quarterly_South America_Oxford_Macroeconomic"
"GDP, manufacturing, real, LCU, Brazil","GDP, manufacturing, real, LCU, Brazil_quarterly_quarterly_South America_Oxford_Macroeconomic"
"GDP, manufacturing, real, LCU, Chile","GDP, manufacturing, real, LCU, Chile_quarterly_quarterly_South America_Oxford_Macroeconomic"
"GDP, manufacturing, real, LCU, China","GDP, manufacturing, real, LCU, China_quarterly_quarterly_China_Oxford_Macroeconomic"
"GDP, manufacturing, real, LCU, France","GDP, manufacturing, real, LCU, France_quarterly_quarterly_Europe_Oxford_Macroeconomic"
"GDP, manufacturing, real, LCU, Germany","GDP, manufacturing, real, LCU, Germany_quarterly_quarterly_Europe_Oxford_Macroeconomic"
"GDP, manufacturing, real, LCU, India","GDP, manufacturing, real, LCU, India_quarterly_quarterly_India_Oxford_Macroeconomic"
"GDP, manufacturing, real, LCU, Indonesia","GDP, manufacturing, real, LCU, Indonesia_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"GDP, manufacturing, real, LCU, Japan","GDP, manufacturing, real, LCU, Japan_quarterly_quarterly_JKT_Oxford_Macroeconomic"
"GDP, manufacturing, real, LCU, Malaysia","GDP, manufacturing, real, LCU, Malaysia_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"GDP, manufacturing, real, LCU, Mexico","GDP, manufacturing, real, LCU, Mexico_quarterly_quarterly_North America_Oxford_Macroeconomic"
"GDP, manufacturing, real, LCU, Philippines","GDP, manufacturing, real, LCU, Philippines_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"GDP, manufacturing, real, LCU, Singapore","GDP, manufacturing, real, LCU, Singapore_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"GDP, manufacturing, real, LCU, South Korea","GDP, manufacturing, real, LCU, South Korea_quarterly_quarterly_JKT_Oxford_Macroeconomic"
"GDP, manufacturing, real, LCU, Thailand","GDP, manufacturing, real, LCU, Thailand_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"GDP, manufacturing, real, LCU, United States","GDP, manufacturing, real, LCU, United States_quarterly_quarterly_North America_Oxford_Macroeconomic"
"GDP, real, LCU, China","GDP, real, LCU, China_quarterly_quarterly_China_Oxford_Macroeconomic"
"GDP, real, annual growth, Argentina","GDP, real, annual growth, Argentina_quarterly_quarterly_South America_Oxford_Macroeconomic"
"GDP, real, annual growth, Brazil","GDP, real, annual growth, Brazil_quarterly_quarterly_South America_Oxford_Macroeconomic"
"GDP, real, annual growth, Chile","GDP, real, annual growth, Chile_quarterly_quarterly_South America_Oxford_Macroeconomic"
"GDP, real, annual growth, China","GDP, real, annual growth, China_quarterly_quarterly_China_Oxford_Macroeconomic"
"GDP, real, annual growth, Commodity Prices","GDP, real, annual growth, Commodity Prices_quarterly_quarterly_Global_Oxford_Macroeconomic"
"GDP, real, annual growth, Eurozone","GDP, real, annual growth, Eurozone_quarterly_quarterly_Europe_Oxford_Macroeconomic"
"GDP, real, annual growth, France","GDP, real, annual growth, France_quarterly_quarterly_Europe_Oxford_Macroeconomic"
"GDP, real, annual growth, Germany","GDP, real, annual growth, Germany_quarterly_quarterly_Europe_Oxford_Macroeconomic"
"GDP, real, annual growth, India","GDP, real, annual growth, India_quarterly_quarterly_India_Oxford_Macroeconomic"
"GDP, real, annual growth, Indonesia","GDP, real, annual growth, Indonesia_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"GDP, real, annual growth, Japan","GDP, real, annual growth, Japan_quarterly_quarterly_JKT_Oxford_Macroeconomic"
"GDP, real, annual growth, Malaysia","GDP, real, annual growth, Malaysia_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"GDP, real, annual growth, Mexico","GDP, real, annual growth, Mexico_quarterly_quarterly_North America_Oxford_Macroeconomic"
"GDP, real, annual growth, Philippines","GDP, real, annual growth, Philippines_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"GDP, real, annual growth, Singapore","GDP, real, annual growth, Singapore_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"GDP, real, annual growth, South Korea","GDP, real, annual growth, South Korea_quarterly_quarterly_JKT_Oxford_Macroeconomic"
"GDP, real, annual growth, Taiwan","GDP, real, annual growth, Taiwan_quarterly_quarterly_JKT_Oxford_Macroeconomic"
"GDP, real, annual growth, Thailand","GDP, real, annual growth, Thailand_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"GDP, real, annual growth, United Kingdom","GDP, real, annual growth, United Kingdom_quarterly_quarterly_Europe_Oxford_Macroeconomic"
"GDP, real, annual growth, United States","GDP, real, annual growth, United States_quarterly_quarterly_North America_Oxford_Macroeconomic"
GFK UK Consumer Confidence Indicator,GFK UK Consumer Confidence Indicator_monthly_monthly_Europe_Bloomberg_Macroeconomic
General Carbon Scrap: market price: Guangzhou,"General Carbon Scrap: market price: Guangzhou_daily_daily_China_Mysteel_Scrap, Metallics"
General Carbon Scrap: market price: Tangshan,"General Carbon Scrap: market price: Tangshan_daily_daily_China_Mysteel_Metallics, Scrap"
Germany CPI All Items MoM,Germany CPI All Items MoM_monthly_monthly_Europe_Bloomberg_Macroeconomic
Germany Composite PMI Output SA,Germany Composite PMI Output SA_monthly_monthly_Europe_Bloomberg_Macroeconomic
Germany Construction PMI SA,Germany Construction PMI SA_monthly_monthly_Europe_Bloomberg_Macroeconomic
Germany Federal Budget Fiscal Balance,Germany Federal Budget Fiscal Balance_monthly_monthly_Europe_Bloomberg_Macroeconomic
Germany GDP Chain Linked Construction Level,Germany GDP Chain Linked Construction Level_quarterly_quarterly_Europe_Bloomberg_Macroeconomic
Germany GDP Chain Linked Gross Value Added Level,Germany GDP Chain Linked Gross Value Added Level_quarterly_quarterly_Europe_Bloomberg_Macroeconomic
Germany GDP Chain Linked Trade Transport & Catering Level,Germany GDP Chain Linked Trade Transport & Catering Level_quarterly_quarterly_Europe_Bloomberg_Macroeconomic
Germany Gross Value Added Agriculture Forestry & Fishing Real SWDA,Germany Gross Value Added Agriculture Forestry & Fishing Real SWDA_quarterly_quarterly_Europe_Bloomberg_Macroeconomic
Germany Gross Value Added Manufacturing Real SWDA,Germany Gross Value Added Manufacturing Real SWDA_quarterly_quarterly_Europe_Bloomberg_Macroeconomic
Germany HICP All Items YoY,Germany HICP All Items YoY_monthly_monthly_Europe_Bloomberg_Macroeconomic
Germany Industrial Mfg Orders - Structural Engineering Work,Germany Industrial Mfg Orders - Structural Engineering Work_monthly_monthly_Europe_Bloomberg_Macroeconomic
Germany Industrial Production - Capital Goods,Germany Industrial Production - Capital Goods_monthly_monthly_Europe_Bloomberg_Macroeconomic
Germany Industrial Production - Construction,Germany Industrial Production - Construction_monthly_monthly_Europe_Bloomberg_Macroeconomic
Germany Industrial Production - Consumer Goods (Durable & Non-Durable),Germany Industrial Production - Consumer Goods (Durable & Non-Durable)_monthly_monthly_Europe_Bloomberg_Macroeconomic
Germany Industrial Production - Energy,Germany Industrial Production - Energy_monthly_monthly_Europe_Bloomberg_Macroeconomic
Germany Industrial Production Incl Construction,Germany Industrial Production Incl Construction_monthly_monthly_Europe_Bloomberg_Macroeconomic
Germany New Car Registrations YoY,Germany New Car Registrations YoY_monthly_monthly_Europe_Bloomberg_Macroeconomic
"Germany New car registrations (NSA, %MoM)","Germany New car registrations (NSA, %MoM)_monthly_monthly_Europe_Bloomberg_Macroeconomic"
Germany Services PMI Business Activity SA,Germany Services PMI Business Activity SA_monthly_monthly_Europe_Bloomberg_Macroeconomic
Germany Trade Exports EUR NSA,Germany Trade Exports EUR NSA_monthly_monthly_Europe_Bloomberg_Macroeconomic
Germany Trade Imports EUR NSA,Germany Trade Imports EUR NSA_monthly_monthly_Europe_Bloomberg_Macroeconomic
Germany Unemployment Rate SWDA,Germany Unemployment Rate SWDA_monthly_monthly_Europe_Bloomberg_Macroeconomic
GfK Consumer Confidence,GfK Consumer Confidence_monthly_monthly_Europe_Bloomberg_Macroeconomic
"Government balance, share of GDP, Argentina","Government balance, share of GDP, Argentina_quarterly_quarterly_South America_Oxford_Macroeconomic"
"Government balance, share of GDP, Brazil","Government balance, share of GDP, Brazil_quarterly_quarterly_South America_Oxford_Macroeconomic"
"Government balance, share of GDP, Chile","Government balance, share of GDP, Chile_quarterly_quarterly_South America_Oxford_Macroeconomic"
"Government balance, share of GDP, China","Government balance, share of GDP, China_quarterly_quarterly_China_Oxford_Macroeconomic"
"Government balance, share of GDP, Eurozone","Government balance, share of GDP, Eurozone_quarterly_quarterly_Europe_Oxford_Macroeconomic"
"Government balance, share of GDP, France","Government balance, share of GDP, France_quarterly_quarterly_Europe_Oxford_Macroeconomic"
"Government balance, share of GDP, Germany","Government balance, share of GDP, Germany_quarterly_quarterly_Europe_Oxford_Macroeconomic"
"Government balance, share of GDP, India","Government balance, share of GDP, India_quarterly_quarterly_India_Oxford_Macroeconomic"
"Government balance, share of GDP, Indonesia","Government balance, share of GDP, Indonesia_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"Government balance, share of GDP, Japan","Government balance, share of GDP, Japan_quarterly_quarterly_JKT_Oxford_Macroeconomic"
"Government balance, share of GDP, Malaysia","Government balance, share of GDP, Malaysia_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"Government balance, share of GDP, Mexico","Government balance, share of GDP, Mexico_quarterly_quarterly_North America_Oxford_Macroeconomic"
"Government balance, share of GDP, Philippines","Government balance, share of GDP, Philippines_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"Government balance, share of GDP, Singapore","Government balance, share of GDP, Singapore_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"Government balance, share of GDP, South Korea","Government balance, share of GDP, South Korea_quarterly_quarterly_JKT_Oxford_Macroeconomic"
"Government balance, share of GDP, Taiwan","Government balance, share of GDP, Taiwan_quarterly_quarterly_JKT_Oxford_Macroeconomic"
"Government balance, share of GDP, Thailand","Government balance, share of GDP, Thailand_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"Government balance, share of GDP, United Kingdom","Government balance, share of GDP, United Kingdom_quarterly_quarterly_Europe_Oxford_Macroeconomic"
"Government balance, share of GDP, United States","Government balance, share of GDP, United States_quarterly_quarterly_North America_Oxford_Macroeconomic"
"Green steel base price, HRC exw Northern Europe, daily inferred, €/tonne","Green steel base price, HRC exw Northern Europe, daily inferred, €/tonne_daily_daily_Europe_Fastmarkets_Green, HRC, Steel"
"Green steel domestic, flat-rolled, differential to HRC index, exw Northern Europe, €/tonne","Green steel domestic, flat-rolled, differential to HRC index, exw Northern Europe, €/tonne_weekly_weekly_Europe_Fastmarkets_Green, HRC, Steel"
"Green steel import, differential to HRC index, cfr Vietnam, $/tonne","Green steel import, differential to HRC index, cfr Vietnam, $/tonne_weekly_weekly_Southeast Asia_Fastmarkets_Green, Steel, HRC"
"Gross government debt (as a % of GDP), Argentina","Gross government debt (as a % of GDP), Argentina_quarterly_quarterly_South America_Oxford_Macroeconomic"
"Gross government debt (as a % of GDP), Brazil","Gross government debt (as a % of GDP), Brazil_quarterly_quarterly_South America_Oxford_Macroeconomic"
"Gross government debt (as a % of GDP), Chile","Gross government debt (as a % of GDP), Chile_quarterly_quarterly_South America_Oxford_Macroeconomic"
"Gross government debt (as a % of GDP), China","Gross government debt (as a % of GDP), China_quarterly_quarterly_China_Oxford_Macroeconomic"
"Gross government debt (as a % of GDP), European Union","Gross government debt (as a % of GDP), European Union_quarterly_quarterly_Europe_Oxford_Macroeconomic"
"Gross government debt (as a % of GDP), France","Gross government debt (as a % of GDP), France_quarterly_quarterly_Europe_Oxford_Macroeconomic"
"Gross government debt (as a % of GDP), Germany","Gross government debt (as a % of GDP), Germany_quarterly_quarterly_Europe_Oxford_Macroeconomic"
"Gross government debt (as a % of GDP), India","Gross government debt (as a % of GDP), India_quarterly_quarterly_India_Oxford_Macroeconomic"
"Gross government debt (as a % of GDP), Indonesia","Gross government debt (as a % of GDP), Indonesia_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"Gross government debt (as a % of GDP), Japan","Gross government debt (as a % of GDP), Japan_quarterly_quarterly_JKT_Oxford_Macroeconomic"
"Gross government debt (as a % of GDP), Malaysia","Gross government debt (as a % of GDP), Malaysia_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"Gross government debt (as a % of GDP), Mexico","Gross government debt (as a % of GDP), Mexico_quarterly_quarterly_North America_Oxford_Macroeconomic"
"Gross government debt (as a % of GDP), Philippines","Gross government debt (as a % of GDP), Philippines_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"Gross government debt (as a % of GDP), Singapore","Gross government debt (as a % of GDP), Singapore_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"Gross government debt (as a % of GDP), South Korea","Gross government debt (as a % of GDP), South Korea_quarterly_quarterly_JKT_Oxford_Macroeconomic"
"Gross government debt (as a % of GDP), Taiwan","Gross government debt (as a % of GDP), Taiwan_quarterly_quarterly_JKT_Oxford_Macroeconomic"
"Gross government debt (as a % of GDP), Thailand","Gross government debt (as a % of GDP), Thailand_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"Gross government debt (as a % of GDP), United Kingdom","Gross government debt (as a % of GDP), United Kingdom_quarterly_quarterly_Europe_Oxford_Macroeconomic"
"Gross government debt (as a % of GDP), United States","Gross government debt (as a % of GDP), United States_quarterly_quarterly_North America_Oxford_Macroeconomic"
"Gross value added in construction, real, Argentina","Gross value added in construction, real, Argentina_quarterly_quarterly_South America_Oxford_Macroeconomic"
"Gross value added in construction, real, Brazil","Gross value added in construction, real, Brazil_quarterly_quarterly_South America_Oxford_Macroeconomic"
"Gross value added in construction, real, Chile","Gross value added in construction, real, Chile_quarterly_quarterly_South America_Oxford_Macroeconomic"
"Gross value added in construction, real, China","Gross value added in construction, real, China_quarterly_quarterly_China_Oxford_Macroeconomic"
"Gross value added in construction, real, Eurozone","Gross value added in construction, real, Eurozone_quarterly_quarterly_Europe_Oxford_Macroeconomic"
"Gross value added in construction, real, France","Gross value added in construction, real, France_quarterly_quarterly_Europe_Oxford_Macroeconomic"
"Gross value added in construction, real, Germany","Gross value added in construction, real, Germany_quarterly_quarterly_Europe_Oxford_Macroeconomic"
"Gross value added in construction, real, India","Gross value added in construction, real, India_quarterly_quarterly_India_Oxford_Macroeconomic"
"Gross value added in construction, real, Indonesia","Gross value added in construction, real, Indonesia_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"Gross value added in construction, real, Japan","Gross value added in construction, real, Japan_quarterly_quarterly_JKT_Oxford_Macroeconomic"
"Gross value added in construction, real, Malaysia","Gross value added in construction, real, Malaysia_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"Gross value added in construction, real, Mexico","Gross value added in construction, real, Mexico_quarterly_quarterly_North America_Oxford_Macroeconomic"
"Gross value added in construction, real, Philippines","Gross value added in construction, real, Philippines_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"Gross value added in construction, real, Singapore","Gross value added in construction, real, Singapore_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"Gross value added in construction, real, South Korea","Gross value added in construction, real, South Korea_quarterly_quarterly_JKT_Oxford_Macroeconomic"
"Gross value added in construction, real, Taiwan","Gross value added in construction, real, Taiwan_quarterly_quarterly_JKT_Oxford_Macroeconomic"
"Gross value added in construction, real, Thailand","Gross value added in construction, real, Thailand_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"Gross value added in construction, real, United Kingdom","Gross value added in construction, real, United Kingdom_quarterly_quarterly_Europe_Oxford_Macroeconomic"
"Gross value added in construction, real, United States","Gross value added in construction, real, United States_quarterly_quarterly_North America_Oxford_Macroeconomic"
"Gross value added in industry, real, LCU, Argentina","Gross value added in industry, real, LCU, Argentina_quarterly_quarterly_South America_Oxford_Macroeconomic"
"Gross value added in industry, real, LCU, Brazil","Gross value added in industry, real, LCU, Brazil_quarterly_quarterly_South America_Oxford_Macroeconomic"
"Gross value added in industry, real, LCU, Chile","Gross value added in industry, real, LCU, Chile_quarterly_quarterly_South America_Oxford_Macroeconomic"
"Gross value added in industry, real, LCU, China","Gross value added in industry, real, LCU, China_quarterly_quarterly_China_Oxford_Macroeconomic"
"Gross value added in industry, real, LCU, Eurozone","Gross value added in industry, real, LCU, Eurozone_quarterly_quarterly_Europe_Oxford_Macroeconomic"
"Gross value added in industry, real, LCU, France","Gross value added in industry, real, LCU, France_quarterly_quarterly_Europe_Oxford_Macroeconomic"
"Gross value added in industry, real, LCU, Germany","Gross value added in industry, real, LCU, Germany_quarterly_quarterly_Europe_Oxford_Macroeconomic"
"Gross value added in industry, real, LCU, India","Gross value added in industry, real, LCU, India_quarterly_quarterly_India_Oxford_Macroeconomic"
"Gross value added in industry, real, LCU, Indonesia","Gross value added in industry, real, LCU, Indonesia_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"Gross value added in industry, real, LCU, Japan","Gross value added in industry, real, LCU, Japan_quarterly_quarterly_JKT_Oxford_Macroeconomic"
"Gross value added in industry, real, LCU, Malaysia","Gross value added in industry, real, LCU, Malaysia_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"Gross value added in industry, real, LCU, Mexico","Gross value added in industry, real, LCU, Mexico_quarterly_quarterly_North America_Oxford_Macroeconomic"
"Gross value added in industry, real, LCU, Philippines","Gross value added in industry, real, LCU, Philippines_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"Gross value added in industry, real, LCU, Singapore","Gross value added in industry, real, LCU, Singapore_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"Gross value added in industry, real, LCU, South Korea","Gross value added in industry, real, LCU, South Korea_quarterly_quarterly_JKT_Oxford_Macroeconomic"
"Gross value added in industry, real, LCU, Taiwan","Gross value added in industry, real, LCU, Taiwan_quarterly_quarterly_JKT_Oxford_Macroeconomic"
"Gross value added in industry, real, LCU, Thailand","Gross value added in industry, real, LCU, Thailand_quarterly_quarterly_Southeast Asia_Oxford_Macroeconomic"
"Gross value added in industry, real, LCU, United Kingdom","Gross value added in industry, real, LCU, United Kingdom_quarterly_quarterly_Europe_Oxford_Macroeconomic"
"Gross value added in industry, real, LCU, United States","Gross value added in industry, real, LCU, United States_quarterly_quarterly_North America_Oxford_Macroeconomic"
H2 Scrap FOB Export Japan US$/mt Weekly,"H2 Scrap FOB Export Japan US$/mt Weekly_weekly_weekly_JKT_Platts_Scrap, Metallics"
HBI Venezuela Exp FOB Venezuelan Ports Wkly,"HBI Venezuela Exp FOB Venezuelan Ports Wkly_weekly_weekly_South America_Platts_DRI, HBI, Metallics"
"HBI, cfr Italian ports, $/tonne","HBI, cfr Italian ports, $/tonne_weekly_weekly_Europe_Fastmarkets_DRI, Metallics"
"HBI, fob New Orleans, $/tonne","HBI, fob New Orleans, $/tonne_weekly_weekly_North America_Fastmarkets_DRI, Metallics"
HMS 1/2 80:20 Containerized CFR Taiwan Port,"HMS 1/2 80:20 Containerized CFR Taiwan Port_daily_daily_JKT_Platts_Scrap, Metallics"
HR rebar: HRB400E: F20: Price summary-listed prices: Beijing,"HR rebar: HRB400E: F20: Price summary-listed prices: Beijing_daily_daily_China_Mysteel_Steel, Rebar"
HR rebar: HRB400E: F20: Price summary-listed prices: Changsha,"HR rebar: HRB400E: F20: Price summary-listed prices: Changsha_daily_daily_China_Mysteel_Rebar, Steel"
HR rebar: HRB400E: F20: Price summary-listed prices: Guangzhou,"HR rebar: HRB400E: F20: Price summary-listed prices: Guangzhou_daily_daily_China_Mysteel_Rebar, Steel"
HR rebar: HRB400E: F20: Price summary-listed prices: Ji'nan,"HR rebar: HRB400E: F20: Price summary-listed prices: Ji'nan_daily_daily_China_Mysteel_Steel, Rebar"
HR rebar: HRB400E: F20: Price summary-listed prices: Kunming,"HR rebar: HRB400E: F20: Price summary-listed prices: Kunming_daily_daily_China_Mysteel_Rebar, Steel"
HR rebar: HRB400E: F20: Price summary-listed prices: Nanning,"HR rebar: HRB400E: F20: Price summary-listed prices: Nanning_daily_daily_China_Mysteel_Rebar, Steel"
HR rebar: HRB400E: F20: Price summary-listed prices: Shanghai,"HR rebar: HRB400E: F20: Price summary-listed prices: Shanghai_daily_daily_China_Mysteel_Rebar, Steel"
HR rebar: HRB400E: F20: Price summary-listed prices: Wuhan,"HR rebar: HRB400E: F20: Price summary-listed prices: Wuhan_daily_daily_China_Mysteel_Rebar, Steel"
HR sheet/coil: 3mm: Price summary-listed prices: Guangzhou,"HR sheet/coil: 3mm: Price summary-listed prices: Guangzhou_daily_daily_China_Mysteel_Steel, HRC"
HR sheet/coil: 3mm: Price summary-listed prices: Shanghai,"HR sheet/coil: 3mm: Price summary-listed prices: Shanghai_daily_daily_China_Mysteel_Steel, HRC"
HR sheet/coil: 4.75mm: Price summary-listed prices: Guangzhou,"HR sheet/coil: 4.75mm: Price summary-listed prices: Guangzhou_daily_daily_China_Mysteel_Steel, HRC"
HR sheet/coil: 4.75mm: Price summary-listed prices: Lecong,"HR sheet/coil: 4.75mm: Price summary-listed prices: Lecong_daily_daily_China_Mysteel_Wire Rod, Steel"
HR sheet/coil: 4.75mm:Price summary-listed prices: Beijing,"HR sheet/coil: 4.75mm:Price summary-listed prices: Beijing_daily_daily_China_Mysteel_HRC, Steel"
HR sheet/coil: Inventory of Steel Mills: China,"HR sheet/coil: Inventory of Steel Mills: China_weekly_weekly_China_Mysteel_Steel, HRC"
HR sheet/coil: Steel Mills: Actual Production: China,"HR sheet/coil: Steel Mills: Actual Production: China_weekly_weekly_China_Mysteel_Steel, HRC"
HR sheet/coil: Steel Mills: Capacity Utilization Rate: China,"HR sheet/coil: Steel Mills: Capacity Utilization Rate: China_weekly_weekly_China_Mysteel_Steel, HRC"
HR sheet/coil: Steel Mills: Operating Rate: China,"HR sheet/coil: Steel Mills: Operating Rate: China_weekly_weekly_China_Mysteel_HRC, Steel"
HR sheet/coil:Consumption:China,"HR sheet/coil:Consumption:China_weekly_weekly_China_Mysteel_HRC, Steel"
"HRC (dry) export, fob main port Latin America, $/tonne","HRC (dry) export, fob main port Latin America, $/tonne_weekly_weekly_South America_Fastmarkets_HRC, Steel"
HRC 1.0mm: market price: Shanghai,"HRC 1.0mm: market price: Shanghai_daily_daily_China_Mysteel_Steel, HRC"
HRC 3.0mm: Average Price,"HRC 3.0mm: Average Price_daily_daily_China_Mysteel_HRC, Steel"
HRC 4.75mm market prices: Shanghai,"HRC 4.75mm market prices: Shanghai_daily_daily_China_Mysteel_HRC, Steel"
HRC Asia-Pacific import-export index (Impex),"HRC Asia-Pacific import-export index (Impex)_daily_daily_Southeast Asia_Argus_HRC, Steel"
HRC Brazil Dom Prod Ex-Works Taxes Excluded Weekly $/ton,"HRC Brazil Dom Prod Ex-Works Taxes Excluded Weekly $/ton_weekly_weekly_South America_Platts_Steel, HRC"
HRC CFR Southeast Asia imports SAE1006,"HRC CFR Southeast Asia imports SAE1006_daily_daily_Southeast Asia_Platts_Steel, HRC"
