indicator_name,indicator_feature_combined
Avg daily production of 126 Mining Enterprises (266 Mines): Northwest China,"Avg daily production of 126 Mining Enterprises (266 Mines): Northwest China_weekly_weekly_China_Mysteel_Iron Ore, Concentrates"
Avg daily production of 126 Mining Enterprises (266 Mines): South China,"Avg daily production of 126 Mining Enterprises (266 Mines): South China_weekly_weekly_China_Mysteel_Concentrates, Iron Ore"
Avg daily production of 126 Mining Enterprises (266 Mines): Southwest China,"Avg daily production of 126 Mining Enterprises (266 Mines): Southwest China_weekly_weekly_China_Mysteel_Concentrates, Iron Ore"
Avg daily production of 126 Mining Enterprises (266 Mines):Central China,"Avg daily production of 126 Mining Enterprises (266 Mines):Central China_weekly_weekly_China_Mysteel_Iron Ore, Concentrates"
Avg daily production of 126 Small Mining Enterprises: China,"Avg daily production of 126 Small Mining Enterprises: China_weekly_weekly_China_Mysteel_Iron Ore, Concentrates"
BCI Cape Spot 5TC,BCI Cape Spot 5TC_daily_daily_Global_Bloomberg_Freight
BCI Freight AUS-CHI,BCI Freight AUS-CHI_daily_daily_Australia_Bloomberg_Freight
BCI Freight BRA-CHI,BCI Freight BRA-CHI_daily_daily_South America_Bloomberg_Freight
BCI Freight C8_14,BCI Freight C8_14_daily_daily_Europe_Bloomberg_Freight
BCI Freight P1 Panamax,BCI Freight P1 Panamax_daily_daily_Europe_Bloomberg_Freight
BF Production Index Alliance Steel - Kuantan Industrial park,"BF Production Index Alliance Steel - Kuantan Industrial park_weekly_weekly_Southeast Asia_Tathya_Steel, Pig iron, Metallics"
BF Production Index Eastern Steel,"BF Production Index Eastern Steel_weekly_weekly_Southeast Asia_Tathya_Metallics, Pig iron, Steel"
BF Production Index Formosa Ha Tinh,"BF Production Index Formosa Ha Tinh_weekly_weekly_Southeast Asia_Tathya_Metallics, Steel, Pig iron"
BF Production Index Hoa Phat Dung Quat,"BF Production Index Hoa Phat Dung Quat_weekly_weekly_Southeast Asia_Tathya_Pig iron, Metallics, Steel"
BF Production Index Hoa Phat Hai Duong,"BF Production Index Hoa Phat Hai Duong_weekly_weekly_Southeast Asia_Tathya_Pig iron, Steel, Metallics"
BF Production Index POSCO - Krakatau,"BF Production Index POSCO - Krakatau_weekly_weekly_Southeast Asia_Tathya_Steel, Metallics, Pig iron"
BF Production Index PT Dexin Steel Morowali,"BF Production Index PT Dexin Steel Morowali_weekly_weekly_Southeast Asia_Tathya_Metallics, Steel, Pig iron"
"BF Utilization Rate %, excl obsolete capacity: China","BF Utilization Rate %, excl obsolete capacity: China_weekly_weekly_China_Mysteel_Metallics, Pig iron, Steel"
BF-based Steel Mills: Eliminate Outdated Capacity Utilization: Tangshan,"BF-based Steel Mills: Eliminate Outdated Capacity Utilization: Tangshan_weekly_weekly_China_Mysteel_Metallics, Pig iron"
BF-based Steel Mills: Operating Rate: Tangshan,"BF-based Steel Mills: Operating Rate: Tangshan_weekly_weekly_China_Mysteel_Pig iron, Steel, Metallics"
BOF Raw Material's cost (IO + Coal consumption cost): China,"BOF Raw Material's cost (IO + Coal consumption cost): China_daily_daily_China_Mysteel_BOF, Steel"
BR Unemployment Rate - Taylor Rule,BR Unemployment Rate - Taylor Rule_monthly_monthly_South America_Bloomberg_Macroeconomic
BRBF: 62.5%Fe: Brand Price: Beilun port,"BRBF: 62.5%Fe: Brand Price: Beilun port_daily_daily_China_Mysteel_Iron Ore, Sinter Fines"
BRBF: 62.5%Fe: Brand Price: Caofeidian port,"BRBF: 62.5%Fe: Brand Price: Caofeidian port_daily_daily_China_Mysteel_Sinter Fines, Iron Ore"
BRBF: 62.5%Fe: Brand Price: Jiangyin port,"BRBF: 62.5%Fe: Brand Price: Jiangyin port_daily_daily_China_Mysteel_Iron Ore, Sinter Fines"
BRBF: 62.5%Fe: Brand Price: Jingtang port,"BRBF: 62.5%Fe: Brand Price: Jingtang port_daily_daily_China_Mysteel_Iron Ore, Sinter Fines"
BRBF: 62.5%Fe: Brand Price: Lanqiao port,"BRBF: 62.5%Fe: Brand Price: Lanqiao port_daily_daily_China_Mysteel_Sinter Fines, Iron Ore"
BRBF: 62.5%Fe: Brand Price: Lianyungang port,"BRBF: 62.5%Fe: Brand Price: Lianyungang port_daily_daily_China_Mysteel_Sinter Fines, Iron Ore"
BRBF: 62.5%Fe: Brand Price: Nantong port,"BRBF: 62.5%Fe: Brand Price: Nantong port_daily_daily_China_Mysteel_Sinter Fines, Iron Ore"
BRBF: 62.5%Fe: Brand Price: Qingdao port,"BRBF: 62.5%Fe: Brand Price: Qingdao port_daily_daily_China_Mysteel_Iron Ore, Sinter Fines"
BRBF: 62.5%Fe: Brand Price: Rizhao port,"BRBF: 62.5%Fe: Brand Price: Rizhao port_daily_daily_China_Mysteel_Sinter Fines, Iron Ore"
BRBF: 62.5%Fe: Brand Price: Taicang port,"BRBF: 62.5%Fe: Brand Price: Taicang port_daily_daily_China_Mysteel_Sinter Fines, Iron Ore"
BRBF: 62.5%Fe: Brand Price: Zhanjiang port,"BRBF: 62.5%Fe: Brand Price: Zhanjiang port_daily_daily_China_Mysteel_Sinter Fines, Iron Ore"
BRBF: 63% Fe: Bayuquan port,"BRBF: 63% Fe: Bayuquan port_daily_daily_China_Mysteel_Iron Ore, Sinter Fines"
BRBF: 63% Fe: Beilun port,"BRBF: 63% Fe: Beilun port_daily_daily_China_Mysteel_Iron Ore, Sinter Fines"
BRBF: 63% Fe: Caofeidian port,"BRBF: 63% Fe: Caofeidian port_daily_daily_China_Mysteel_Iron Ore, Sinter Fines"
BRBF: 63% Fe: Fangcheng port,"BRBF: 63% Fe: Fangcheng port_daily_daily_China_Mysteel_Iron Ore, Sinter Fines"
BRBF: 63% Fe: Jiangyin port,"BRBF: 63% Fe: Jiangyin port_daily_daily_China_Mysteel_Sinter Fines, Iron Ore"
BRBF: 63% Fe: Jingtang port,"BRBF: 63% Fe: Jingtang port_daily_daily_China_Mysteel_Iron Ore, Sinter Fines"
BRBF: 63% Fe: Lianyungang port,"BRBF: 63% Fe: Lianyungang port_daily_daily_China_Mysteel_Iron Ore, Sinter Fines"
BRBF: 63% Fe: Nantong port,"BRBF: 63% Fe: Nantong port_daily_daily_China_Mysteel_Iron Ore, Sinter Fines"
BRBF: 63% Fe: Qingdao port,"BRBF: 63% Fe: Qingdao port_daily_daily_China_Mysteel_Iron Ore, Sinter Fines"
BRBF: 63%Fe: Malayan: Brand Price: Qingdao port($),"BRBF: 63%Fe: Malayan: Brand Price: Qingdao port($)_daily_daily_China_Mysteel_Iron Ore, Sinter Fines"
Baker Hughes Egypt Oil Rotary Rig Count,Baker Hughes Egypt Oil Rotary Rig Count_monthly_monthly_MENA_Bloomberg_Macroeconomic
Baker Hughes OPEC Countries Oil And Gas Rotary Rig Count Data,Baker Hughes OPEC Countries Oil And Gas Rotary Rig Count Data_monthly_monthly_MENA_Bloomberg_Macroeconomic
Billet CFR Import China,"Billet CFR Import China_daily_daily_China_Platts_Steel, Billet"
Billet CFR Import Southeast Asia,"Billet CFR Import Southeast Asia_daily_daily_Southeast Asia_Platts_Billet, Steel"
